Hotel Name,city,postcode,housenumber,street,state,address2,longitude,latitude
Essex House Hotel,Miami Beach,33139,1001,Collins Avenue,Florida,"1001 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13134166528354,25.7807593
Hotel Breakwater South Beach,Miami Beach,33139,940,Ocean Drive,Florida,"940 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13104388764124,25.779999699999998
Hyatt Regency Coral Gables,,33134,50,Alhambra Plaza,Florida,"50 Alhambra Plaza, Coral Gables, FL 33134, United States of America",-80.25549953676449,25.7518791
Parqueadero Miami Beach,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13124569565555,25.78118895
The Stiles Hotel,Miami Beach,33139,1120,Collins Avenue,Florida,"1120 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13157148147774,25.7822021
Ocean Blue Hostel,Miami Beach,33139,,Ocean Drive,Florida,"Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1309328,25.7796047
Cils Home,Miami,33145,,Southwest 23rd Street,Florida,"Southwest 23rd Street, Miami, FL 33145, United States of America",-80.254058,25.7482753
Clevelander South Beach Hotel and Bar,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13104468098152,25.78065315
Ocean Reef Suites,Miami Beach,33139,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33139, United States of America",-80.13161565,25.78237705
Wynwood South Beach Hotel,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.131193,25.781464
Hotel Ocean,Miami Beach,33139,1130,Collins Avenue,Florida,"1130 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13159035000001,25.782521449999997
Miami Beach International Hostel,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1311904,25.781462
Congress Hotel South Beach,Miami Beach,33139,1036,Ocean Drive,Florida,"1036 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1308008,25.781110650000002
The Marlin,Miami Beach,33139,1200,Collins Avenue,Florida,"1200 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13149295,25.783009999999997
Congress Hotel by Miavac,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13077195940593,25.7812488
Casa Boutique Hotel,Miami Beach,33139,1334,Washington Avenue,Florida,"1334 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13235814938264,25.784866100000002
Azure Luxury Suites,Miami Beach,33139,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33139, United States of America",-80.1314721,25.78315405
Dream South Beach,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13103616216846,25.78215995
OceanDriveVR Suites,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.1307388510526,25.7813896
The Kent Hotel,Miami Beach,33139,1131,Collins Avenue,Florida,"1131 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13098308550741,25.7823885
Casa Victoria Orchid Hotel,Miami Beach,33139,507,Española Way,Florida,"507 Española Way, Miami Beach, FL 33139, United States of America",-80.13315945787181,25.7870985
Impala Hotel,Miami Beach,33139,1228,Collins Avenue,Florida,"1228 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1314258455084,25.783416600000002
La Flora Hotel,Miami Beach,33139,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33139, United States of America",-80.13140506632041,25.78355965
The Villa Casa Casuarina,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13062999700776,25.78201505
Commodore Inn the Grove,Miami,33133,3162,Commodore Plaza,Florida,"3162 Commodore Plaza, Miami, FL 33133, United States of America",-80.24483975603817,25.72726685
Hotel Victor,Miami Beach,33139,1144,Ocean Drive,Florida,"1144 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13068355961714,25.78230265
1818 Meridian House,Miami Beach,33139,1816,Meridian Avenue,Florida,"1816 Meridian Avenue, Miami Beach, FL 33139, United States of America",-80.13714072209775,25.7941335
Suites On South Beach,Miami Beach,33139,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33139, United States of America",-80.13123636235954,25.7846526
The Shepley,Miami Beach,33139,1340,Collins Avenue,Florida,"1340 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13119549999999,25.78492155
Esmé Miami Beach,Miami Beach,33139,,Española Way,Florida,"Española Way, Miami Beach, FL 33139, United States of America",-80.13210638110652,25.786823300000002
Hotel Ocean South Beach,Miami Beach,33139,1230,Ocean Drive,Florida,"1230 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1303695798124,25.7832841
,Miami Beach,33139,,Ocean Court,Florida,"Miami Beach, FL 33139, United States of America",-80.130397,25.7830955
Orchid House,Miami Beach,33139,1350,Collins Avenue,Florida,"1350 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1310960580212,25.78504865
El Paseo Hotel,Miami Beach,33139,405,Española Way,Florida,"405 Española Way, Miami Beach, FL 33139, United States of America",-80.13195814550875,25.7871306
Leslie Hotel,Miami Beach,33139,1244,Ocean Drive,Florida,"1244 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13031445146328,25.7835653
The Carlyle,Miami Beach,33139,1250,Ocean Drive,Florida,"1250 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.1302746573967,25.78380105
Sra. Betty,,33142,,Northwest 26th Street,Florida,"Northwest 26th Street, Miami-Dade County, FL 33142, United States of America",-80.2426232,25.7998127
Courtyard by Marriott Miami Beach South Beach,Miami Beach,33139,,Washington Avenue,Florida,"Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13217519537473,25.78815335
The Clifton South Beach Hotel,Miami Beach,33139,1343,Collins Avenue,Florida,"1343 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13059505,25.7848356
Nassau Suite Hotel,Miami Beach,33139,1414,Collins Avenue,Florida,"1414 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13105411241966,25.78587585
Cardozo Hotel South Beach,Miami Beach,33139,1300,Ocean Drive,Florida,"1300 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13012014523383,25.7841289
"Hotel Colonnade Coral Gables, Autograph Collection",,33134,180,Aragon Avenue,Florida,"180 Aragon Avenue, Coral Gables, FL 33134, United States of America",-80.25821430120101,25.75014505
Rock Hostel,Miami Beach,33139,1351,Collins Avenue,Florida,"1351 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1307046,25.7850123
Cavalier Hotel,Miami Beach,33139,1320,Ocean Drive,Florida,"1320 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13019385,25.78437205
The Odyssey of South Beach Hotel,Miami Beach,33139,1420,Collins Avenue,Florida,"1420 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13100684805752,25.7861451
Riviere South Beach Hotel,Miami Beach,33139,,Collins Court,Florida,"Collins Court, Miami Beach, FL 33139, United States of America",-80.13098375415913,25.786285499999998
South Beach Plaza Hotel,Miami Beach,33139,1401,Collins Avenue,Florida,"1401 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13049600247487,25.785413650000002
Island House,Miami Beach,33139,1428,Collins Avenue,Florida,"1428 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13096555,25.78641415
odyssey,Miami Beach,33139,1420,Collins Avenue,Florida,"1420 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1308307,25.7861329
Villa Paradiso Apartment Hotel,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13044176265339,25.7858178
The President Hotel South Beach,Miami Beach,33139,1423,Collins Avenue,Florida,"1423 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13040194189757,25.7859862
"Winter Haven, Autograph Collection",Miami Beach,33139,1400,Ocean Drive,Florida,"1400 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13004609666504,25.78531955
President Villa Miami Beach,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13048863896255,25.78618315
Ponce De Leon Hotel,,33134,1721,Ponce de Leon Boulevard,Florida,"1721 Ponce de Leon Boulevard, Coral Gables, FL 33134, United States of America",-80.25857282005975,25.756211649999997
"Marriott Vacation Club Pulse, South Beach",Miami Beach,33139,1410,Ocean Drive,Florida,"1410 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.13000713961782,25.7855107
Crowne Plaza South Beach - Z Ocean Hotel,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.13020878734424,25.786532299999998
Penguin Hotel,Miami Beach,33139,1420,Ocean Drive,Florida,"1420 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.12996040226417,25.7858751
Parisian Hotel,Miami Beach,33139,1510,Collins Avenue,Florida,"1510 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13086125893861,25.7879027
McAlpin Hotel,Miami Beach,33139,1430,Ocean Drive,Florida,"1430 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.12994015000001,25.7860096
Geneva Hotel,Miami Beach,33139,1520,Collins Avenue,Florida,"1520 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13085254394065,25.7880446
Hilton Grand Vacations at McAlpin-Ocean Plaza,Miami Beach,33139,,Ocean Court,Florida,"Ocean Court, Miami Beach, FL 33139, United States of America",-80.12992040222649,25.7861417
The Hall SouthBeach,Miami Beach,33139,1500,Collins Avenue,Florida,"1500 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1306932,25.7872715
Crowne Plaza South Beach - Z Ocean Hotel,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13003738475021,25.787107050000003
Aqua Hotel Miami Beach,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13104467571088,25.788254000000002
The Betsy South Beach,Miami Beach,33139,1440,Ocean Drive,Florida,"1440 Ocean Drive, Miami Beach, FL 33139, United States of America",-80.12976802250441,25.786464799999997
Aqua Hotel,Miami Beach,33139,1530,Collins Avenue,Florida,"1530 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13079038822542,25.78853335
HI-Miami Beach,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1305008,25.7878932
,Miami,33125,3341,Northwest 18th Terrace,Florida,"Miami, FL 33125, United States of America",-80.2508909,25.7920126
"Royal Palm South Beach Miami, a Tribute Portfolio Resort 2",Miami Beach,33139,,15th Street,Florida,"15th Street, Miami Beach, FL 33139, United States of America",-80.12908712760775,25.787941850000003
Bayside Motor Inn,Miami,33137,,Biscayne Boulevard,Florida,"Biscayne Boulevard, Miami, FL 33137, United States of America",-80.18675160468442,25.8231807
Hyatt Centric South Beach Miami,Miami Beach,33139,,16th Street,Florida,"16th Street, Miami Beach, FL 33139, United States of America",-80.13072423637949,25.789399349999997
Iberostar Berkeley Shore Hotel,Miami Beach,33139,1610,Collins Avenue,Florida,"1610 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1306097692059,25.7896581
"Royal Palm South Beach Miami, a Tribute Portfolio Resort",Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12929405924972,25.78839955
Albion Hotel South Beach,Miami Beach,33139,,Lincoln Road,Florida,"Lincoln Road, Miami Beach, FL 33139, United States of America",-80.1309129730283,25.79111475
Greenview,Miami Beach,33139,,Washington Avenue,Florida,"Washington Avenue, Miami Beach, FL 33139, United States of America",-80.1314957,25.79157935
Crest Hotel Suites,Miami Beach,33139,,James Avenue,Florida,"James Avenue, Miami Beach, FL 33139, United States of America",-80.13107794999999,25.79151085
Loews Miami Beach Hotel,Miami Beach,33139,1601,Collins Avenue,Florida,"1601 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12934426562256,25.7893831
Beds & Drinks,Miami Beach,33139,1676,James Avenue,Florida,"1676 James Avenue, Miami Beach, FL 33139, United States of America",-80.13109045433751,25.79173235
James,Miami Beach,33139,1680,James Avenue,Florida,"Miami Beach, FL 33139, United States of America",-80.1310927,25.79197695
Urbanica The Kaskades South Beach,Miami Beach,33139,300,17th Street,Florida,"300 17th Street, Miami Beach, FL 33139, United States of America",-80.13110209999999,25.79212645
Travelodge by Wyndham Miami Biscayne Bay,Miami,33137,5255,Biscayne Boulevard,Florida,"5255 Biscayne Boulevard, Miami, FL 33137, United States of America",-80.18647301575982,25.824781950000002
San Juan Hotel South Beach,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13027976896754,25.7919566
Gale South Beach,Miami Beach,33139,1690,Collins Avenue,Florida,"1690 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.130258414477,25.79213865
"The Ritz-Carlton, South Beach",Miami Beach,33139,1,Lincoln Road,Florida,"1 Lincoln Road, Miami Beach, FL 33139, United States of America",-80.1293205640344,25.7911682
Cadet Hotel,Miami Beach,33139,1701,James Avenue,Florida,"1701 James Avenue, Miami Beach, FL 33139, United States of America",-80.13053125701646,25.79256895
Lincoln Arms Suites,Miami Beach,33139,1800,James Avenue,Florida,"1800 James Avenue, Miami Beach, FL 33139, United States of America",-80.13131602302576,25.7941079
Prime Hotel Claremont,Miami Beach,33139,1700,Collins Avenue,Florida,"1700 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13007127048863,25.792613
Rewal's house,Miami,33125,1521,Northwest 37th Avenue,Florida,"1521 Northwest 37th Avenue, Miami, FL 33125, United States of America",-80.2556877,25.7882943
"Sagamore, The Art Hotel",Miami Beach,33139,1671,Collins Avenue,Florida,"1671 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12916774306075,25.79163645
Ernesto Motel,Miami,33134,4001,West Flagler Street,Florida,"4001 West Flagler Street, Miami, FL 33134, United States of America",-80.26155468052539,25.772020849999997
Dorset Hotel,Miami Beach,33139,1720,Collins Avenue,Florida,"1720 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13004024920863,25.79284345
National,Miami Beach,33139,1677,Collins Avenue,Florida,"1677 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12931036409397,25.79180045
The Catalina Hotel & Beach Club,Miami Beach,33139,1732,Collins Avenue,Florida,"1732 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12999857413126,25.7931206
Delano South Beach,Miami Beach,33139,1685,Collins Avenue,Florida,"1685 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12917450022144,25.792123750000002
The Redbury South Beach,Miami Beach,33139,1776,Collins Avenue,Florida,"1776 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12980064342187,25.7936716
Pestana Miami South Beach,Miami Beach,33139,1817,James Avenue,Florida,"1817 James Avenue, Miami Beach, FL 33139, United States of America",-80.13041735440737,25.794328450000002
Courtyard by Marriott Miami Coral Gables,,33134,2051,Minorca Avenue,Florida,"2051 Minorca Avenue, Coral Gables, FL 33134, United States of America",-80.2624539173996,25.75376985
SLS South Beach,Miami Beach,33139,1701,Collins Avenue,Florida,"1701 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12914365370872,25.79259665
Kimpton Surfcomber Hotel,Miami Beach,33139,1717,Collins Avenue,Florida,"1717 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12863931285972,25.79291105
Berkeley Park MGallery Hotel Collection,Miami Beach,33139,334,20th Street,Florida,"334 20th Street, Miami Beach, FL 33139, United States of America",-80.13111540117745,25.7959395
Marseilles Beachfront Hotel,Miami Beach,33139,1741,Collins Avenue,Florida,"1741 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12902360000001,25.7931928
South Seas,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12888180165737,25.79333785
The Richmond,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.1288610386666,25.79348995
Dorchester Miami Beach Hotel & Suites,Miami Beach,33139,,19th Street,Florida,"19th Street, Miami Beach, FL 33139, United States of America",-80.1299504124278,25.7948589
Best Western Premier Miami Intl Airport Hotel & Suites Coral Gables,Miami,33134,4100,West Flagler Street,Florida,"4100 West Flagler Street, Miami, FL 33134, United States of America",-80.26283370053262,25.771251550000002
Riviera Hotel & Suites South Beach,Miami Beach,33139,318,20th Street,Florida,"318 20th Street, Miami Beach, FL 33139, United States of America",-80.13064877096039,25.795857050000002
Hotel Belleza,Miami Beach,33139,2115,Washington Avenue,Florida,"2115 Washington Avenue, Miami Beach, FL 33139, United States of America",-80.13173610134655,25.7976652
Four Points by Sheraton Coral Gables,Miami,33133,,Southwest 40th Street,Florida,"Southwest 40th Street, Miami, FL 33133, United States of America",-80.25760827430102,25.7352231
The Raleigh,Miami Beach,33139,1775,Collins Avenue,Florida,"1775 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12896869297693,25.79372505
Lennox Miami Beach,Miami Beach,33139,1900,Collins Avenue,Florida,"1900 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.13003769140698,25.7952193
Shelborne South Beach,Miami Beach,33139,1801,Collins Avenue,Florida,"1801 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12888760034585,25.7941779
Rivera Hotel Apartments,Miami Beach,33139,2000,Liberty Avenue,Florida,"2000 Liberty Avenue, Miami Beach, FL 33139, United States of America",-80.13046033579471,25.7963053
Nautilus by Arlo,Miami Beach,33139,1825,Collins Avenue,Florida,"1825 Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12879976181283,25.7944355
Radisson RED Miami Airport,,33142,3401,Northwest 25th Street,Florida,"3401 Northwest 25th Street, Miami-Dade County, FL 33142, United States of America",-80.25150345975722,25.79925605
The Originals Shore Club Miami Beach,Miami Beach,33139,,20th Street,Florida,"20th Street, Miami Beach, FL 33139, United States of America",-80.12861862956841,25.79489045
Ansonia Hotel South Beach,Miami Beach,33139,318,21st Street,Florida,"318 21st Street, Miami Beach, FL 33139, United States of America",-80.1302963800405,25.79663005
Aloft Coral Gables,,33134,,Southwest 42nd Avenue,Florida,"Southwest 42nd Avenue, Coral Gables, FL 33134, United States of America",-80.26308993316681,25.747714600000002
Boulan South Beach,Miami Beach,33139,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33139, United States of America",-80.12932279391055,25.795968950000002
SBH South Beach Hotel,Miami Beach,33139,,Liberty Avenue,Florida,"Liberty Avenue, Miami Beach, FL 33139, United States of America",-80.12978220303798,25.7964315
Townhouse Hotel Miami,Miami Beach,33139,150,20th Street,Florida,"150 20th Street, Miami Beach, FL 33139, United States of America",-80.12888339922091,25.79532095
"EVEN Hotel Miami - Airport, an IHG Hotel",,33142,3499,Northwest 25th Street,Florida,"3499 Northwest 25th Street, Miami-Dade County, FL 33142, United States of America",-80.2522280929679,25.7993997
The Setai Miami Beach,Miami Beach,33139,,20th Street,Florida,"20th Street, Miami Beach, FL 33139, United States of America",-80.12865037149007,25.795909350000002
KAYAK Miami Beach,Miami Beach,33139,2216,Park Avenue,Florida,"2216 Park Avenue, Miami Beach, FL 33139, United States of America",-80.13040456766859,25.7986325
Residence Inn by Marriott Miami Airport,Miami,33126,,Northwest 39th Court,Florida,"Northwest 39th Court, Miami, FL 33126, United States of America",-80.26170180242522,25.78388575
Element Miami International Airport,,33142,3525,Northwest 25th Street,Florida,"3525 Northwest 25th Street, Miami-Dade County, FL 33142, United States of America",-80.25323379431833,25.79957755
TownePlace Suites by Marriott Miami Airport,Miami,33126,4021,Northwest 11th Street,Florida,"4021 Northwest 11th Street, Miami, FL 33126, United States of America",-80.26270298621722,25.78297355
Courtyard by Marriott Miami Airport,Miami,33126,1201,Dolphin Expressway,Florida,"1201 Dolphin Expressway, Miami, FL 33126, United States of America",-80.26230653791939,25.7848332
Miami Airport Marriott,Miami,33125,,Northwest 42nd Avenue,Florida,"Northwest 42nd Avenue, Miami, FL 33125, United States of America",-80.26292668899205,25.78408585
Fairfield Inn & Suites by Marriott Miami Airport South,Miami,33126,4101,Northwest 11th Street,Florida,"4101 Northwest 11th Street, Miami, FL 33126, United States of America",-80.2632143207853,25.782715
Casa d dunier,Miami,33134,,Northwest 42nd Avenue,Florida,"Northwest 42nd Avenue, Miami, FL 33134, United States of America",-80.2650511,25.776056
W South Beach,Miami Beach,33139,,22nd Street,Florida,"22nd Street, Miami Beach, FL 33139, United States of America",-80.12724020772615,25.797541250000002
Tradewinds Apartment Hotel,Miami Beach,33140,2365,West 24th Street,Florida,"2365 West 24th Street, Miami Beach, FL 33140, United States of America",-80.1294921971347,25.80032415
Sonesta Miami Airport,Miami,33126,950,Northwest 42nd Avenue,Florida,"950 Northwest 42nd Avenue, Miami, FL 33126, United States of America",-80.2648639500745,25.781154450000002
freehand,Miami Beach,33140,,Pine Tree Drive,Florida,"Pine Tree Drive, Miami Beach, FL 33140, United States of America",-80.1297065,25.800891
1 Hotel South Beach,Miami Beach,33140,,24th Street,Florida,"24th Street, Miami Beach, FL 33140, United States of America",-80.12730658429538,25.79913585
"Staybridge Suites Miami International Airport, an IHG Hotel",,33142,3651,Northwest 25th Street,Florida,"3651 Northwest 25th Street, Miami-Dade County, FL 33142, United States of America",-80.2556709549217,25.79922715
Regency Hotel,Miami,33126,1000,Northwest 42nd Avenue,Florida,"1000 Northwest 42nd Avenue, Miami, FL 33126, United States of America",-80.26491133426384,25.78179605
Sheraton Miami Airport Hotel & Executive Meeting Center,,33125,,Northwest 21st Street,Florida,"Northwest 21st Street, Miami-Dade County, FL 33125, United States of America",-80.25944298782582,25.79450795
Aloft South Beach Hotel,Miami Beach,33140,,Flamingo Drive,Florida,"Flamingo Drive, Miami Beach, FL 33140, United States of America",-80.12815852929727,25.799652299999998
Seven Seas Motel,Miami,33101,5940,Biscayne Boulevard,Florida,"5940 Biscayne Boulevard, Miami, FL 33101, United States of America",-80.18527192457248,25.83058435
Miami Princess Hotel,Miami,33126,,Northwest 12th Street,Florida,"Northwest 12th Street, Miami, FL 33126, United States of America",-80.26471567568564,25.783225199999997
Roney Palace Condo,Miami Beach,33140,2301,Collins Avenue,Florida,"2301 Collins Avenue, Miami Beach, FL 33140, United States of America",-80.1267581,25.7983843
Ankara,Miami Beach,33140,,Collins Avenue,Florida,"Collins Avenue, Miami Beach, FL 33140, United States of America",-80.1279151,25.8000325
Carl's El Padre Motel,Miami,33101,,Northeast 5th Court,Florida,"Northeast 5th Court, Miami, FL 33101, United States of America",-80.1850614,25.8309207
The Mantell Plaza,Miami Beach,33140,255,West 24th Street,Florida,"255 West 24th Street, Miami Beach, FL 33140, United States of America",-80.12810128185721,25.8008583
Casa Grande 4351,Miami,33126,4351 NW,Northwest 9th Street,Florida,"4351 NW Northwest 9th Street, Miami, FL 33126, United States of America",-80.2665529,25.7810449
COMO Metropolitan Miami Beach,Miami Beach,33140,2445,Collins Avenue,Florida,"2445 Collins Avenue, Miami Beach, FL 33140, United States of America",-80.12614327762344,25.80043675
Stardust Motel,Miami,33134,4525,Southwest 8th Street,Florida,"4525 Southwest 8th Street, Miami, FL 33134, United States of America",-80.27039698676639,25.764486050000002
David William Hotel Condo Association,,33134,700,Biltmore Way,Florida,"700 Biltmore Way, Coral Gables, FL 33134, United States of America",-80.26950345283501,25.7476403
Jamaica Motel,Miami,33134,4601,Southwest 8th Street,Florida,"4601 Southwest 8th Street, Miami, FL 33134, United States of America",-80.2708208604325,25.764446
Sinbad Motel,Miami,33137,6150,Biscayne Boulevard,Florida,"6150 Biscayne Boulevard, Miami, FL 33137, United States of America",-80.18437025885416,25.8331457
Shalimar Motel,Miami,33138,6200,Biscayne Boulevard,Florida,"6200 Biscayne Boulevard, Miami, FL 33138, United States of America",-80.18445580516337,25.833726
Lorraine Hotel,Miami Beach,33140,,26th Street,Florida,"26th Street, Miami Beach, FL 33140, United States of America",-80.12582964980456,25.802489549999997
OYO Hotel Coral Gables - Miami Airport,Miami,33134,4700,Southwest 8th Street,Florida,"4700 Southwest 8th Street, Miami, FL 33134, United States of America",-80.27212955100046,25.76389785
,Miami,33138,,Northeast 63rd Street,Florida,"Miami, FL 33138, United States of America",-80.18606925896452,25.8338765
Pine Tree Gardens Inn,Miami Beach,33140,2931,Sheridan Avenue,Florida,"2931 Sheridan Avenue, Miami Beach, FL 33140, United States of America",-80.12851706299097,25.80629295
Silver Sands Beach Resort,Key Biscayne,33149,301,Ocean Drive,Florida,"301 Ocean Drive, Key Biscayne, FL 33149, United States of America",-80.15793482986231,25.6955443
South Pacific Motel,Miami,33101,6300,Biscayne Boulevard,Florida,"6300 Biscayne Boulevard, Miami, FL 33101, United States of America",-80.1844885,25.8343485
,Miami,33138,,Northeast 63rd Street,Florida,"Miami, FL 33138, United States of America",-80.18456235,25.83432985
Freehand Miami,Miami Beach,33140,2731,Indian Creek Drive,Florida,"2731 Indian Creek Drive, Miami Beach, FL 33140, United States of America",-80.1263489020534,25.804542249999997
,Miami,33101,,Biscayne Boulevard,Florida,"Miami, FL 33101, United States of America",-80.18432867284645,25.8344059
AC Hotel by Marriott Miami Beach,Miami Beach,33140,,29th Street,Florida,"29th Street, Miami Beach, FL 33140, United States of America",-80.12538580682406,25.80544025
Alden Hotel Miami Beach,Miami Beach,33140,2925,Indian Creek Drive,Florida,"2925 Indian Creek Drive, Miami Beach, FL 33140, United States of America",-80.12580515000002,25.8058356
New Yorker Boutique Hotel,Miami,33138,,Northeast 65th Street,Florida,"Northeast 65th Street, Miami, FL 33138, United States of America",-80.18450025900464,25.8360213
The Miami Beach EDITION,Miami Beach,33140,,30th Street,Florida,"30th Street, Miami Beach, FL 33140, United States of America",-80.1242146795606,25.80535045
Hilton Garden Inn Miami South Beach,Miami Beach,33140,,30th Street,Florida,"30th Street, Miami Beach, FL 33140, United States of America",-80.1249367,25.805819
"Holiday Inn Express & Suites Miami Airport East, an IHG Hotel",,33142,2601,Northwest 42nd Avenue,Florida,"2601 Northwest 42nd Avenue, Miami-Dade County, FL 33142, United States of America",-80.26358946778421,25.799854699999997
Red South Beach Hotel,Miami Beach,33140,3010,Collins Avenue,Florida,"3010 Collins Avenue, Miami Beach, FL 33140, United States of America",-80.12478173299897,25.8061863
